"bathrooms","bedrooms","city","country","currency","latitude","livingArea","longitude","lotAreaUnit","priceForHDP","rentZestimate","state","streetAddress","taxAssessedValue","zestimate","zipcode","priceinmil","lotArea","range_1"
2,2,"Denver","USA","USD",39.736034,1873,-104.97839,"sqft",575000,2981,"CO","1238 N Washington Street",538100,564900,80203,0.575,2.94,"Medium"
1,1,"Denver","USA","USD",39.73387,687,-104.93872,"sqft",219900,1584,"CO","1155 Ash Street  Unit 604",182600,217362,80220,0.2199,0.687,"Low"
3,4,"Denver","USA","USD",39.779568,2811,-105.02427,"sqft",1175000,4798,"CO","4565 Eliot Street",579700,1141885,80211,1.175,6.25,"High"
2,3,"Denver","USA","USD",39.78183,1356,-104.81729,"sqft",439900,2394,"CO","4912 Altura Street",333000,432568,80239,0.4399,4.813,"Medium"
5,5,"Denver","USA","USD",39.71348,5120,-104.96901,"sqft",3095000,12933,"CO","169 S Franklin Street",2592400,3045145,80209,3.095,6.23,"High"
2,3,"Denver","USA","USD",39.70297,2605,-105.03012,"sqft",475000,2410,"CO","3316 W Walsh Place",171800,469179,80219,0.475,6.34,"Medium"
1,2,"Denver","USA","USD",39.739304,1069,-104.922554,"sqft",390000,2199,"CO","1455 Holly Street",380500,435800,80220,0.39,3.923,"Medium"
2,3,"Denver","USA","USD",39.776005,1681,-104.756905,"sqft",250000,2522,"CO","4390 Genoa Street",338400,246247,80249,0.25,5,"Low"
3,4,"Denver","USA","USD",39.661747,2606,-105.05465,"sqft",539000,2799,"CO","2913 S Depew Street",423700,539100,80227,0.539,10.0188,"Medium"
1,3,"Denver","USA","USD",39.709118,1132,-105.00682,"sqft",409900,2404,"CO","1420 W Dakota Avenue",371900,403341,80223,0.4099,6.25,"Medium"
2,4,"Denver","USA","USD",39.682087,1353,-105.049286,"sqft",440000,2400,"CO","1903 S Wolcott Court",368900,435111,80219,0.44,7.73,"Medium"
4,4,"Denver","USA","USD",39.72539,3165,-104.965546,"sqft",1425000,5278,"CO","590 N Williams Street",1103500,1413367,80218,1.425,4.33,"High"
2,2,"Boulder","USA","USD",40.016716,1489,-105.28412,"sqft",1395000,4200,"CO","840 Pearl St UNIT D",845575,1124400,80302,1.395,14.3748,"High"
4,7,"Boulder","USA","USD",40.009922,5363,-105.21115,"sqft",2350000,6128,"CO","6111 Reserve Dr",1361600,2294749,80303,2.35,16.5528,"High"
3,3,"Boulder","USA","USD",40.03057,1586,-105.2431,"sqft",650000,2799,"CO","3085 Edison Ct",485000,642261,80301,0.65,1.7424,"Medium"
2,3,"Boulder","USA","USD",39.99637,1862,-105.254265,"sqft",880000,2992,"CO","380 32nd St",673200,836100,80305,0.88,6.9696,"High"
3,4,"Boulder","USA","USD",40.01643,2328,-105.321686,"sqft",1387000,4185,"CO","357 Canyonside Dr",882900,1200300,80302,1.387,71.874,"High"
4,5,"Boulder","USA","USD",39.977287,2713,-105.255905,"sqft",1599900,3936,"CO","1225 Hartford Drive",1096700,1213600,80305,1.5999,7.07,"High"
3,4,"Boulder","USA","USD",40.046375,2957,-105.30228,"sqft",1200000,5073,"CO","1298 Linden Dr",830800,1170300,80304,1.2,45.738,"High"
4,6,"Boulder","USA","USD",40.042812,4741,-105.26327,"sqft",2685000,6775,"CO","3754 N 26th St",1473800,1976100,80304,2.685,18.2952,"High"
5,5,"Boulder","USA","USD",40.02688,3010,-105.28289,"sqft",2550000,9681,"CO","2802 11th St",1094350,2387700,80304,2.55,6.0984,"High"
6,5,"Boulder","USA","USD",40.037033,5181,-105.29135,"sqft",4500000,15084,"CO","402 Juniper Ave",3273900,4100000,80304,4.5,10.89,"High"
3,4,"Boulder","USA","USD",40.018635,3048,-105.14216,"sqft",1395000,3995,"CO","9032 Tahoe Lane",954500,1234300,80301,1.395,29.261,"High"
4,4,"Boulder","USA","USD",40.003235,3608,-105.27707,"sqft",2685000,9739,"CO","870 12th St",1900000,2636181,80302,2.685,9.1476,"High"
2,3,"Boulder","USA","USD",40.015453,1927,-105.45551,"sqft",750000,3200,"CO","1051 Primos Rd",538400,741222,80302,0.75,69.696,"Medium"
4,4,"Boulder","USA","USD",40.032578,4609,-105.285255,"sqft",3750000,10313,"CO","3184 9th St",1762500,3661833,80304,3.75,6.0984,"High"
2,4,"Boulder","USA","USD",40.030895,1404,-105.28064,"sqft",1e+06,3499,"CO","3015 13th Street",878800,981595,80304,1,9.049,"High"
3,5,"Boulder","USA","USD",40.01477,1879,-105.27047,"sqft",1547000,1994,"CO","1843 Arapahoe Ave",953200,1513195,80302,1.547,4.356,"High"
6,10,"Boulder","USA","USD",40.014957,3336,-105.26493,"sqft",2799700,3949,"CO","1509 23rd St",1347600,2740131,80302,2.7997,5.2272,"High"
4,4,"Houston","USA","USD",29.671282,2450,-95.494415,"sqft",750000,2449,"TX","5934 Dumfries Dr",342212,356300,77096,0.75,8.280756,"Low"
2,3,"Houston","USA","USD",29.856743,1650,-95.24916,"sqft",269900,1892,"TX","9514 Caddo Rd",26318,269263,77078,0.2699,7.32,"Low"
3,3,"Houston","USA","USD",29.6738,2050,-95.510445,"sqft",239900,2014,"TX","7655 S Braeswood Blvd APT 42",142412,180300,77071,0.2399,3.374,"Low"
2,4,"Houston","USA","USD",29.946434,2009,-95.58101,"sqft",330000,1995,"TX","11803 Rowood Dr",290014,275700,77070,0.33,8.8209,"Low"
3,4,"Humble","USA","USD",30.039133,2362,-95.248436,"sqft",289500,2082,"TX","1603 Trail Forest Ct",257205,280548,77339,0.2895,4.991976,"Low"
3,4,"Houston","USA","USD",29.767029,3001,-95.59801,"sqft",699000,4579,"TX","14318 Cindywood Dr",599451,720500,77079,0.699,9.243432,"Medium"
5,4,"Houston","USA","USD",29.712053,3435,-95.43891,"sqft",2195000,9721,"TX","3825 Byron St",1548020,1581200,77005,2.195,5.000688,"High"
3,4,"Houston","USA","USD",29.952154,2408,-95.489265,"sqft",329900,2094,"TX","4715 Brooklawn Dr",232941,248700,77066,0.3299,6.721308,"Low"
3,3,"Houston","USA","USD",29.79537,1429,-95.55083,"sqft",480000,1900,"TX","1438 Shadeland Dr",304830,456365,77043,0.48,7.88436,"Medium"
3,4,"Houston","USA","USD",29.987387,2304,-95.59113,"sqft",3e+05,2180,"TX","11514 Parkriver Dr",291141,320600,77070,0.3,9.600624,"Low"
2,3,"Houston","USA","USD",29.795654,1745,-95.193535,"sqft",280000,1759,"TX","13026 Ellesmere Dr",208355,280000,77015,0.28,7.245,"Low"
1,3,"Houston","USA","USD",29.84614,1446,-95.396835,"sqft",275000,1699,"TX","5505 Arlington St",136324,265517,77076,0.275,19.941768,"Low"
3,3,"Houston","USA","USD",29.771788,1753,-95.40209,"sqft",390000,2499,"TX","1166 Bonner St",365358,383021,77007,0.39,2.121372,"Low"
3,4,"Houston","USA","USD",29.598633,2874,-95.10525,"sqft",439900,2633,"TX","3910 Silver Aspen Ct",416249,431922,77059,0.4399,13.5036,"Medium"
3,4,"Houston","USA","USD",29.860292,1848,-95.394196,"sqft",340000,2296,"TX","6707 Parker Oaks Ln",254076,333061,77076,0.34,1.925352,"Low"
2,4,"Houston","USA","USD",29.697582,1793,-95.307274,"sqft",305000,1895,"TX","3307 Pecan St",282635,292172,77087,0.305,5.985144,"Low"
4,3,"Houston","USA","USD",29.773727,2620,-95.4191,"sqft",899000,1999,"TX","1414 Malone St",508586,885971,77007,0.899,2.875,"High"
2,4,"Houston","USA","USD",29.985807,1956,-95.55234,"sqft",285000,1845,"TX","14606 Ravenhurst Ln",277443,266500,77070,0.285,8.999496,"Low"
3,3,"Houston","USA","USD",29.912,2682,-95.653244,"sqft",395000,2289,"TX","16218 Pine Thorn Dr",327122,393167,77095,0.395,7.1874,"Low"
2,2,"Houston","USA","USD",29.764832,1446,-95.34022,"sqft",315000,2100,"TX","2901 Clinton Dr",283844,313170,77020,0.315,1.563804,"Low"
3,4,"Houston","USA","USD",29.85422,2514,-95.20146,"sqft",330000,2084,"TX","9019 Melody Park Ln",258535,326544,77044,0.33,7.57944,"Low"
3,3,"Houston","USA","USD",29.851421,1490,-95.42047,"sqft",329900,2316,"TX","849 Mansfield St #D",181755,323444,77091,0.3299,1.667,"Low"
2,4,"Houston","USA","USD",29.57812,2253,-95.23194,"sqft",225000,2199,"TX","11458 Sagemorgan Dr",223335,225000,77089,0.225,7.81902,"Low"
2,3,"Houston","USA","USD",29.862137,1634,-95.42223,"sqft",290000,1762,"TX","6905 Radcliffe St",242788,287582,77091,0.29,5.998212,"Low"
2,3,"Houston","USA","USD",29.825027,1615,-95.44186,"sqft",520000,2499,"TX","1635 Althea Dr",451991,499165,77018,0.52,6.960888,"Medium"
1,3,"Houston","USA","USD",29.859964,1540,-95.14126,"sqft",375000,1701,"TX","9111 Security Ln",135510,343400,77049,0.375,49.436244,"Low"
2,4,"Houston","USA","USD",29.71231,2033,-95.28213,"sqft",299900,1999,"TX","7811 Garden St",305847,288075,77012,0.2999,10.558944,"Low"
2,3,"Houston","USA","USD",29.964315,1355,-95.46774,"sqft",189900,1670,"TX","2739 Grand Canyon Dr",170361,197900,77067,0.1899,7.858224,"Low"
3,4,"Houston","USA","USD",30.00559,1944,-95.40334,"sqft",125000,1807,"TX","15915 Regal Trace Ln",210374,123364,77073,0.125,4.822092,"Low"
2,2,"Dallas","USA","USD",32.768696,1336,-96.79504,"sqft",424900,2364,"TX","1001 Belleview St #801",340000,419294,75215,0.4249,41.07708,"Medium"
4,4,"Dallas","USA","USD",32.827625,3660,-96.7036,"sqft",750000,2034,"TX","1407 San Saba Dr",361890,740859,75218,0.75,22.25916,"Medium"
1,1,"Dallas","USA","USD",32.935596,747,-96.8062,"sqft",215000,1564,"TX","5881 Preston View Blvd APT 151",123260,210503,75240,0.215,266.93568,"Low"
3,4,"Dallas","USA","USD",32.951748,3222,-96.789734,"sqft",649950,4999,"TX","6845 Delmeta Dr",625990,623187,75248,0.64995,13.37292,"Medium"
2,3,"Dallas","USA","USD",32.75392,1194,-96.64492,"sqft",190000,1794,"TX","10332 Oak Branch Ln",151460,187143,75227,0.19,4.44312,"Low"
3,4,"Dallas","USA","USD",32.833168,1860,-96.68524,"sqft",415000,1849,"TX","10155 Eastwood Dr",260770,404379,75228,0.415,7.71012,"Medium"
3,2,"Dallas","USA","USD",32.9123,1663,-96.805275,"sqft",499900,2999,"TX","5990 Lindenshire Ln APT 126",349230,499900,75230,0.4999,92.26008,"Medium"
2,3,"Dallas","USA","USD",32.877728,1980,-96.84534,"sqft",839000,4813,"TX","4026 Glenridge Rd",744420,839002,75220,0.839,7.57944,"High"
1,1,"Dallas","USA","USD",32.81133,575,-96.7656,"sqft",255000,1628,"TX","5963 Ross Ave APT 203",157410,252424,75206,0.255,6.14196,"Low"
2,3,"Dallas","USA","USD",32.995674,1237,-96.87076,"sqft",299900,1970,"TX","2547 Sundance Ln",191784,299902,75287,0.2999,4.61736,"Low"
2,4,"Dallas","USA","USD",32.69935,1530,-96.892624,"sqft",298000,2183,"TX","3715 Karlie Way",233160,298000,75236,0.298,7.49232,"Low"
2,4,"Dallas","USA","USD",32.79079,2034,-96.70596,"sqft",417000,2298,"TX","5419 Enchanted Ln",324650,406682,75227,0.417,8.40708,"Medium"
3,4,"Dallas","USA","USD",32.754677,1935,-96.66068,"sqft",189000,1795,"TX","9466 Edgecreek Dr",202650,208800,75227,0.189,8.0586,"Low"
3,4,"Dallas","USA","USD",32.907455,2377,-96.863014,"sqft",699000,4140,"TX","3469 Saint Cloud Cir",451090,692467,75229,0.699,11.93544,"Medium"
2,3,"Dallas","USA","USD",32.823795,1825,-96.77593,"sqft",795000,5290,"TX","5433 Goodwin Ave",723990,791121,75206,0.795,8.001972,"Medium"
2,2,"Dallas","USA","USD",32.833538,1397,-96.75406,"sqft",689000,2864,"TX","6322 Ellsworth Ave",601040,689002,75214,0.689,7.141,"Medium"
5,5,"Dallas","USA","USD",32.896427,4433,-96.81931,"sqft",1500000,9875,"TX","5111 Pebblebrook Dr",1279150,1422100,75229,1.5,25.9182,"High"
2,4,"Dallas","USA","USD",32.734634,1496,-96.8616,"sqft",179900,2813,"TX","2602 W Clarendon Dr",206060,244000,75211,0.1799,7.36164,"Low"
2,4,"Dallas","USA","USD",32.856773,1888,-96.81313,"sqft",775000,5172,"TX","5750 Southwestern Blvd",791350,839000,75209,0.775,8.31996,"High"
2,3,"Dallas","USA","USD",32.68726,1104,-96.79802,"sqft",198000,1494,"TX","4840 Ramona Ave",125380,192060,75216,0.198,7.8408,"Low"
4,5,"Chicago","USA","USD",41.998985,3406,-87.6719,"sqft",650000,5014,"IL","6431 N Paulina St",618170,744300,60626,0.65,4.133844,"Medium"
3,4,"Chicago","USA","USD",41.96349,2396,-87.68111,"sqft",1100000,5840,"IL","2108 W Sunnyside Ave",741080,844800,60625,1.1,3,"High"
2,5,"Chicago","USA","USD",41.936073,1767,-87.74516,"sqft",487000,2199,"IL","3029 N Keating Ave",205420,327700,60641,0.487,3.125,"Low"
2,3,"Vestavia Hills","USA","USD",33.451473,2271,-86.781235,"sqft",699000,3696,"AL","443 Trousdale St",455000,639900,35216,0.699,16.1172,"Medium"
3,3,"Birmingham","USA","USD",33.534775,1800,-86.8044,"sqft",339000,1059,"AL","1315 28th St N",109900,329677,35234,0.339,9.5832,"Low"
2,3,"Birmingham","USA","USD",33.63785,1764,-86.6457,"sqft",199900,1355,"AL","1919 Croydon Cir",111400,158800,35235,0.1999,18.7308,"Low"
3,4,"Helena","USA","USD",33.267536,3549,-86.93639,"sqft",649900,3531,"AL","686 Highway 277",405600,557100,35080,0.6499,25.2648,"Medium"
1,3,"Huntsville","USA","USD",34.7003,936,-86.61719,"sqft",129900,1182,"AL","3118 Hale Dr SW",51200,131000,35805,0.1299,7.93,"Low"
2,3,"Cullman","USA","USD",34.2426,1248,-86.71179,"sqft",115000,1656,"AL","321 County Road 1535",84100,167800,35058,0.115,26.136,"Low"
3,3,"Montevallo","USA","USD",33.155422,1543,-86.821846,"sqft",225000,1706,"AL","113 Patriot Point Dr",155800,225001,35115,0.225,3.4848,"Low"
1,3,"Huntsville","USA","USD",34.767475,950,-86.592255,"sqft",125900,1088,"AL","2409 Mount Vernon Rd NW",30100,125000,35810,0.1259,7.8408,"Low"
4,4,"Mc Calla","USA","USD",33.318848,3485,-87.05517,"sqft",420000,2544,"AL","502 Waterside Cir",244500,410100,35111,0.42,24.3936,"Medium"
2,3,"Mobile","USA","USD",30.662672,1809,-88.13778,"sqft",109900,1150,"AL","3613 Heritage Dr N",81000,105000,36609,0.1099,8.367876,"Low"
2,4,"Pinson","USA","USD",33.696136,1321,-86.63491,"sqft",2e+05,1366,"AL","5598 Melissa Dr",116400,192200,35126,0.2,18.2952,"Low"
1,3,"Alexander City","USA","USD",32.934204,1306,-85.97586,"sqft",159000,999,"AL","1774 Pineview Dr",76000,153491,35010,0.159,26.136,"Low"
3,4,"PAGE","USA","USD",36.927986,2054,-111.461494,"sqft",439000,2600,"AZ","13 14th Ave",250267,428400,86040,0.439,9.583,"Medium"
4,4,"Scottsdale","USA","USD",33.4598,2380,-111.93013,"sqft",770000,3300,"AZ","7009 E Portland St",442600,749084,85257,0.77,2.96208,"Medium"
3,3,"Moreno Valley","USA","USD",33.969624,1538,-117.26465,"sqft",505000,2701,"CA","22909 Mountain View Rd",192699,483200,92557,0.505,6.098,"Medium"
3,3,"Stockton","USA","USD",37.99131,2379,-121.356926,"sqft",599000,2900,"CA","6505 Brook Hollow Cir",448730,582400,95219,0.599,8.542116,"Medium"
3,3,"Madera","USA","USD",36.975334,2100,-120.09035,"sqft",449900,2499,"CA","2517 Meadowrest Way",202296,381800,93637,0.4499,6.17,"Low"
3,4,"Desert Hot Springs","USA","USD",33.961132,1840,-116.49351,"sqft",585000,1914,"CA","66947 Pierson Blvd",282103,585001,92240,0.585,7.8408,"Medium"
3,4,"Rocklin","USA","USD",38.82828,1819,-121.26423,"sqft",699000,2734,"CA","910 Lazy Trail Dr",525578,682700,95765,0.699,4.352,"Medium"
2,2,"Palm Desert","USA","USD",33.718132,1550,-116.361305,"sqft",387777,4500,"CA","45394 Driftwood Dr",176371,388700,92260,0.387777,1.742,"Low"
2,3,"Quincy","USA","USD",39.932274,1792,-120.94677,"sqft",365000,2250,"CA","326 Coburn St",256620,358600,95971,0.365,12.1968,"Low"
2,2,"Clovis","USA","USD",36.807697,1450,-119.6281,"sqft",444900,2098,"CA","2125 Las Rosas Ave",323342,420800,93619,0.4449,5.201064,"Medium"
3,4,"Oxnard","USA","USD",34.15697,1800,-119.21774,"sqft",1557000,3499,"CA","336 Highland Dr",279544,1483600,93035,1.557,1.751112,"High"
3,3,"Palm Desert","USA","USD",33.713287,2323,-116.37168,"sqft",1750000,7994,"CA","74110 Covered Wagon Trl",152001,1623700,92260,1.75,13.5036,"High"
1,2,"Los Angeles","USA","USD",33.948578,880,-118.26663,"sqft",349000,2643,"CA","417 E 97th St",165639,449300,90003,0.349,5.09652,"Medium"
2,2,"Potrero","USA","USD",32.629585,1560,-116.64918,"sqft",599000,3390,"CA","23254 Coyote Holler Rd",277463,500100,91963,0.599,354.1428,"Medium"
1,3,"Bakersfield","USA","USD",35.37853,0,-118.985275,"sqft",245000,1304,"CA","1101 Gage St",54317,238800,93305,0.245,3.875,"Low"
3,4,"Fresno","USA","USD",36.775627,2532,-119.65633,"sqft",585000,2799,"CA","7447 E Homan Ave",467400,575564,93737,0.585,4.779,"Medium"
2,3,"Fresno","USA","USD",36.800217,1643,-119.85154,"sqft",365000,1950,"CA","3321 W Norwich Ave",231876,323400,93722,0.365,6,"Low"
3,3,"Placerville","USA","USD",38.68025,2293,-120.6911,"sqft",875000,2997,"CA","3851 Leisure Ln",657276,854000,95667,0.875,351.5292,"High"
3,3,"Cameron Park","USA","USD",38.66804,2024,-120.97968,"sqft",729000,2995,"CA","3749 Sudbury Rd",405000,559900,95682,0.729,17.86,"Medium"
3,3,"Manteca","USA","USD",37.815773,1722,-121.24561,"sqft",555000,2600,"CA","1651 Sallie O Dr",317102,548100,95336,0.555,6.658,"Medium"
2,3,"Clovis","USA","USD",36.794426,1220,-119.6526,"sqft",384900,2044,"CA","3170 Redington Ave",235560,379227,93619,0.3849,3.650328,"Low"
2,2,"Bakersfield","USA","USD",35.431305,1528,-118.87177,"sqft",299500,1575,"CA","11917 Laver Ct #38",200959,281900,93306,0.2995,593.2872,"Low"
1,3,"Stockton","USA","USD",37.962402,1640,-121.3085,"sqft",395000,2190,"CA","1044 W Vine St",189742,368200,95203,0.395,5.449356,"Low"
2,4,"Fortuna","USA","USD",40.588306,1600,-124.13787,"sqft",459000,2699,"CA","2306 Shamrock Dr",257962,469118,95540,0.459,8.7,"Medium"
2,2,"San Diego","USA","USD",32.689644,1056,-117.099365,"sqft",369000,2863,"CA","4412 Delta St APT 30",283404,390100,92113,0.369,54.71136,"Low"
3,4,"Roseville","USA","USD",38.77378,2114,-121.33715,"sqft",675000,2949,"CA","101 Buena Vista Ct",578673,675000,95747,0.675,8.764272,"Medium"
4,5,"Los Altos Hills","USA","USD",37.348156,2835,-122.11685,"sqft",3800000,7720,"CA","11170 Magdalena Rd",224189,3800399,94024,3.8,44.749188,"High"
4,4,"New Milford","USA","USD",41.563766,2842,-73.37851,"sqft",619000,5499,"CT","3 Winston Way",285350,555400,6776,0.619,63.162,"Medium"
3,5,"Madison","USA","USD",41.350056,3594,-72.6136,"sqft",699000,3627,"CT","30 Georgetown Cir",326700,648500,6443,0.699,60.1128,"Medium"
2,2,"Waterbury","USA","USD",41.58059,1560,-73.044495,"sqft",270000,2199,"CT","105 White St",86500,274800,6710,0.27,13.5036,"Low"
3,4,"Bethlehem","USA","USD",41.662395,3592,-73.20976,"sqft",997740,5000,"CT","216 Lake Dr",350300,1033400,6751,0.99774,91.0404,"High"
2,7,"Winsted","USA","USD",41.92179,2446,-73.07019,"sqft",209900,921,"CT","20 Center St",79520,209900,6098,0.2099,6.534,"Low"
2,3,"Middletown","USA","USD",41.54979,1742,-72.63284,"sqft",324900,2364,"CT","31 Laurel St",101680,325062,6457,0.3249,5.6628,"Low"
2,2,"Branford","USA","USD",41.270657,1482,-72.82093,"sqft",479000,2400,"CT","37 Bryan Rd",203400,389200,6405,0.479,8.2764,"Low"
1,4,"Woodstock","USA","USD",41.941128,2275,-72.071236,"sqft",495000,2023,"CT","4 Barber Rd",164400,285300,6281,0.495,54.45,"Low"
6,5,"Westport","USA","USD",41.15396,5424,-73.37181,"sqft",2499000,13249,"CT","5 Windrush Ln",1197900,2499016,6880,2.499,50.094,"High"
4,4,"Thomaston","USA","USD",41.683304,2153,-73.09847,"sqft",439900,3249,"CT","576 Walnut Hill Rd",171780,439902,6787,0.4399,69.696,"Medium"
4,4,"Stafford Springs","USA","USD",41.983246,2698,-72.32711,"sqft",350000,2949,"CT","4 Acorn Dr",196210,331400,6076,0.35,52.7076,"Low"
3,3,"New Milford","USA","USD",41.57308,1912,-73.43347,"sqft",378000,3499,"CT","9 Willow Rd",195920,397700,6776,0.378,23.958,"Low"
7,6,"Wilton","USA","USD",41.221054,6669,-73.48585,"sqft",2495000,14532,"CT","112 Vista Rd",1119230,2095700,6897,2.495,93.2184,"High"
2,3,"Perry","USA","USD",32.473846,1337,-83.729614,"sqft",148900,1599,"GA","100 Spring Creek Dr",90700,154800,31069,0.1489,13.5036,"Low"
4,3,"Morganton","USA","USD",34.844673,5934,-84.14987,"sqft",968800,4851,"GA","773 Heards Rdg",421471,930900,30560,0.9688,51.8364,"High"
5,5,"Augusta","USA","USD",33.533875,3521,-82.075134,"sqft",674900,3247,"GA","437 Congressional Ct",384768,547500,30907,0.6749,10.0188,"Medium"
1,3,"Dalton","USA","USD",34.772736,1419,-84.97707,"sqft",2e+05,1309,"GA","700 Vernon Ave",77792,132200,30720,0.2,9.583,"Low"
3,4,"Ellijay","USA","USD",34.641644,2622,-84.49591,"sqft",629000,2374,"GA","1856 Talona Mountain Rd",302600,438400,30536,0.629,41.382,"Medium"
3,5,"Augusta","USA","USD",33.47224,2361,-82.08351,"sqft",308900,1856,"GA","511 Post Oak Ln",39500,315300,30909,0.3089,6.0984,"Low"
3,5,"Fairburn","USA","USD",33.62166,2806,-84.65468,"sqft",389900,2694,"GA","4941 Locherby Dr",240800,369500,30213,0.3899,10.89,"Low"
2,3,"Bethlehem","USA","USD",33.920715,1597,-83.74768,"sqft",375000,2125,"GA","305 McKendree Ct",177539,276000,30620,0.375,34.442892,"Low"
5,5,"Atlanta","USA","USD",33.85077,3034,-84.386665,"sqft",1175000,9002,"GA","3530 Habersham Rd NW",843000,1137096,30305,1.175,12.1968,"High"
4,4,"Canton","USA","USD",34.32317,2619,-84.51148,"sqft",839900,4407,"GA","120 Bridle Ridge Ln",50900,816358,30114,0.8399,112.3848,"High"
2,4,"Atlanta","USA","USD",33.84516,3288,-84.376915,"sqft",950000,5518,"GA","3305 Mathieson Dr NE",798900,925600,30305,0.95,16.801092,"High"
5,5,"Atlanta","USA","USD",33.82258,4642,-84.338425,"sqft",1690000,8874,"GA","1247 Mayfair Dr",1096200,1637200,30324,1.69,13.068,"High"
2,4,"Stone Mountain","USA","USD",33.752865,1610,-84.172356,"sqft",175000,1834,"GA","1480 Muirfield Dr",116400,187800,30088,0.175,8.712,"Low"
3,3,"Jasper","USA","USD",34.489697,1808,-84.44442,"sqft",324900,2100,"GA","34 Hood Park Ct",12000,246700,30143,0.3249,6.0984,"Low"
5,7,"Sandy Springs","USA","USD",33.969276,6100,-84.346924,"sqft",899000,5051,"GA","7750 Stratford Ln",579800,868200,30350,0.899,14.50548,"High"
3,2,"Atlanta","USA","USD",33.900295,1538,-84.443665,"sqft",395000,2100,"GA","1138 Riverbend Club Dr SE",261440,389802,30339,0.395,7.53588,"Low"
2,3,"Buford","USA","USD",34.091465,2481,-83.98036,"sqft",505000,2455,"GA","3761 Devenwood Way",451400,505002,30519,0.505,15.6816,"Medium"
6,4,"Atlanta","USA","USD",33.85625,4919,-84.36165,"sqft",1995000,11355,"GA","3724 Wieuca Rd NE",1379400,1927600,30342,1.995,21.9978,"High"
2,3,"Kennesaw","USA","USD",34.017906,1144,-84.62329,"sqft",325000,1941,"GA","2542 Ridgecrest Dr NW",179460,318981,30152,0.325,7.12206,"Low"
2,3,"Granite Quarry","USA","USD",35.612694,1092,-80.42755,"sqft",230000,1350,"NC","955 White Rock Ave",90223,94600,28146,0.23,40.9464,"Low"
2,3,"Denver","USA","USD",35.501328,1684,-81.00146,"sqft",4e+05,1995,"NC","7668 Old Post Rd",210838,371700,28037,0.4,22.52052,"Low"
1,2,"Stanley","USA","USD",35.361553,844,-81.101395,"sqft",120000,1114,"NC","405 3rd St",66700,114200,28164,0.12,10.89,"Low"
2,3,"Conover","USA","USD",35.779655,3280,-81.21288,"sqft",499900,3456,"NC","1517 Victorian Hills Cir",249800,414600,28613,0.4999,47.4804,"Medium"
4,4,"Kings Mountain","USA","USD",35.24576,3480,-81.36022,"sqft",405000,1727,"NC","354 Edgemont Dr",187575,314100,28086,0.405,23.5224,"Low"
2,4,"Cherryville","USA","USD",35.377262,1800,-81.34642,"sqft",280000,1839,"NC","237 Diana Rd",178110,307400,28021,0.28,58.3704,"Low"
2,3,"Mooresville","USA","USD",35.581585,1702,-80.84816,"sqft",395000,1906,"NC","349 Reed Creek Rd",206350,402600,28117,0.395,8.712,"Medium"
2,3,"Charlotte","USA","USD",35.27754,1890,-80.75168,"sqft",350000,1914,"NC","7019 Rockland Dr",192000,324800,28213,0.35,14.3748,"Low"
2,3,"Charlotte","USA","USD",35.19717,1693,-80.732025,"sqft",305000,1954,"NC","7530 Riding Trail Rd",160500,288400,28212,0.305,14.11344,"Low"
